Reference	MT Abundance	Ref ID
K1CI_HUMAN	0.18469	112
K1CI_HUMAN	0.14716	112
K1CI_HUMAN	0.82032	112
K1CI_HUMAN	0.14052	112
K1CI_HUMAN	0.416	112
K1CI_HUMAN	0.0434	112
K1CI_HUMAN	0.1033	112
K1CI_HUMAN	0.06597	112
K1CI_HUMAN	0.2841	112
K1CI_HUMAN	10.9	112
K1CI_HUMAN	0.34213	112
K1CI_HUMAN	0.1574	112
K1CI_HUMAN	3.8064	112
K1CI_HUMAN	0.25956	112
K1CI_HUMAN	0.2106	112
K1CI_HUMAN	0.3778	112
K1CI_HUMAN	0.10966	112
K1CI_HUMAN	0.1172	112
K1CI_HUMAN	1.90399	112
K1CI_HUMAN	0.36182	112
K1CI_HUMAN	1.81965	112
K1CI_HUMAN	1.2888	112
K1CI_HUMAN	0.4548	112
K1CI_HUMAN	0.09319	112
K1CI_HUMAN	0.01426	112
K1CI_HUMAN	0.01088	112
K1CI_HUMAN	0.48692	112
K1CI_HUMAN	0.03364	112
K1CI_HUMAN	0.006106	112
K1CI_HUMAN	0.02353	112
K1CI_HUMAN	0.006382	112
K1CI_HUMAN	0.035112	112
K1CI_HUMAN	0.02164	112
K1CI_HUMAN	0.01526	112
K1CI_HUMAN	0.04132	112
K1CI_HUMAN	0.19812	112
K1CI_HUMAN	0.17866	112
K1CI_HUMAN	0.003994	112
K1CI_HUMAN	0.0842	112
K1CI_HUMAN	0.00645	112
K1CI_HUMAN	0.010859	112
K1CI_HUMAN	0.00735	112
K1CI_HUMAN	0.020562	112
K1CI_HUMAN	0.031062	112
K1CI_HUMAN	0.031126	112
K1CI_HUMAN	0.03864	112
K1CI_HUMAN	0.003994	112
K1CI_HUMAN	0.015106	112
K1CI_HUMAN	0.02353	112
K1CI_HUMAN	0.006126	112
K22E_HUMAN	0.2528	102
K22E_HUMAN	0.34452	102
K22E_HUMAN	1.4065	102
K22E_HUMAN	0.2464	102
K22E_HUMAN	0.73471	102
K22E_HUMAN	0.29902	102
K22E_HUMAN	0.2597	102
K22E_HUMAN	0.1101	102
K22E_HUMAN	0.11794	102
K22E_HUMAN	2.18139	102
K22E_HUMAN	0.43068	102
K22E_HUMAN	0.0772	102
K22E_HUMAN	54.8064	102
K22E_HUMAN	0.05973	102
K22E_HUMAN	0.2671	102
K22E_HUMAN	0.045	102
K22E_HUMAN	3.23401	102
K22E_HUMAN	0.206	102
K22E_HUMAN	0.2887	102
K22E_HUMAN	1.093	102
K22E_HUMAN	0.264	102
K22E_HUMAN	0.19074	102
K22E_HUMAN	1.19384	102
K22E_HUMAN	5.80833	102
K22E_HUMAN	0.59523	102
K22E_HUMAN	1.10002	102
K22E_HUMAN	0.3396	102
K22E_HUMAN	3.1126	102
K22E_HUMAN	0.0418	102
K22E_HUMAN	0.06039	102
K22E_HUMAN	0.48186	102
K22E_HUMAN	0.1784	102
K22E_HUMAN	1.46796	102
K22E_HUMAN	1.12728	102
K22E_HUMAN	2.4976	102
K22E_HUMAN	21.0396	102
K22E_HUMAN	2.46164	102
K22E_HUMAN	0.232	102
K22E_HUMAN	0.09388	102
K22E_HUMAN	0.1564	102
K22E_HUMAN	0.1805	102
K22E_HUMAN	9.19618	102
K22E_HUMAN	0.07752	102
K22E_HUMAN	0.20712	102
K22E_HUMAN	0.4274	102
K22E_HUMAN	0.56758	102
K22E_HUMAN	0.004158	102
K22E_HUMAN	0.01723	102
K22E_HUMAN	0.00802	102
K22E_HUMAN	0.03672	102
K22E_HUMAN	0.00936	102
K22E_HUMAN	0.01997	102
K22E_HUMAN	5.538128	102
K22E_HUMAN	0.00723	102
K22E_HUMAN	0.003994	102
K22E_HUMAN	0.00432	102
K22E_HUMAN	0.06156	102
K22E_HUMAN	0.017198	102
K22E_HUMAN	0.0063	102
K22E_HUMAN	0.05004	102
K22E_HUMAN	0.004548	102
K22E_HUMAN	0.03847	102
K22E_HUMAN	0.086314	102
K22E_HUMAN	0.11854	102
K22E_HUMAN	0.185	102
K22E_HUMAN	0.02886	102
K22E_HUMAN	0.01552	102
K22E_HUMAN	0.10998	102
K22E_HUMAN	0.130124	102
K22E_HUMAN	0.050808	102
K22E_HUMAN	5.41584	102
K22E_HUMAN	0.116681	102
K22E_HUMAN	0.01706	102
K22E_HUMAN	1.077828	102
K22E_HUMAN	0.06474	102
K22E_HUMAN	0.13544	102
K22E_HUMAN	0.01494	102
K22E_HUMAN	0.00754	102
K22E_HUMAN	0.0123	102
K22E_HUMAN	0.0285	102
K22E_HUMAN	0.01134	102
K22E_HUMAN	0.03934	102
K2C1_HUMAN	4.636	116
K2C1_HUMAN	0.0672	116
K2C1_HUMAN	0.27604	116
K2C1_HUMAN	30.995	116
K2C1_HUMAN	0.0873	116
K2C1_HUMAN	0.08604	116
K2C1_HUMAN	2.10726	116
K2C1_HUMAN	0.2824	116
K2C1_HUMAN	0.28024	116
K2C1_HUMAN	0.1212	116
K2C1_HUMAN	0.416	116
K2C1_HUMAN	0.1257	116
K2C1_HUMAN	0.22656	116
K2C1_HUMAN	0.51394	116
K2C1_HUMAN	4.97525	116
K2C1_HUMAN	0.66918	116
K2C1_HUMAN	0.05361	116
K2C1_HUMAN	0.45948	116
K2C1_HUMAN	0.03818	116
K2C1_HUMAN	0.12272	116
K2C1_HUMAN	1.7552	116
K2C1_HUMAN	5.56578	116
K2C1_HUMAN	3.14578	116
K2C1_HUMAN	0.139	116
K2C1_HUMAN	0.4418	116
K2C1_HUMAN	0.16862	116
K2C1_HUMAN	0.63596	116
K2C1_HUMAN	0.16446	116
K2C1_HUMAN	0.46372	116
K2C1_HUMAN	0.3462	116
K2C1_HUMAN	1.98476	116
K2C1_HUMAN	0.04328	116
K2C1_HUMAN	0.03428	116
K2C1_HUMAN	0.0742	116
K2C1_HUMAN	35.36532	116
K2C1_HUMAN	0.04014	116
K2C1_HUMAN	0.2455	116
K2C1_HUMAN	0.33138	116
K2C1_HUMAN	0.2077	116
K2C1_HUMAN	0.12286	116
K2C1_HUMAN	0.05883	116
K2C1_HUMAN	0.51394	116
K2C1_HUMAN	1.18488	116
K2C1_HUMAN	3.1118	116
K2C1_HUMAN	0.1175	116
K2C1_HUMAN	0.00762	116
K2C1_HUMAN	0.00802	116
K2C1_HUMAN	0.01602	116
K2C1_HUMAN	6.805168	116
K2C1_HUMAN	0.021	116
K2C1_HUMAN	0.04269	116
K2C1_HUMAN	0.01392	116
K2C1_HUMAN	0.00548	116
K2C1_HUMAN	0.00432	116
K2C1_HUMAN	0.01723	116
K2C1_HUMAN	0.06156	116
K2C1_HUMAN	0.01186	116
K2C1_HUMAN	0.057106	116
K2C1_HUMAN	0.01407	116
K2C1_HUMAN	0.21613	116
K2C1_HUMAN	0.11914	116
K2C1_HUMAN	0.10236	116
K2C1_HUMAN	0.00802	116
K2C1_HUMAN	0.00894	116
K2C1_HUMAN	0.030787	116
K2C1_HUMAN	0.05633	116
K2C1_HUMAN	0.16352	116
K2C1_HUMAN	0.03052	116
K2C1_HUMAN	0.01544	116
K2C1_HUMAN	0.010146	116
K2C1_HUMAN	0.04579	116
K2C1_HUMAN	0.00894	116
K2C1_HUMAN	0.163502	116
K2C1_HUMAN	0.00894	116
K2C1_HUMAN	0.021898	116
K2C1_HUMAN	1.162376	116
K2C1_HUMAN	0.0314	116
K2C1_HUMAN	0.07306	116
K2C1_HUMAN	0.00688	116
K2C1_HUMAN	0.272853	116
K2C1_HUMAN	0.195782	116
K2C1_HUMAN	0.02732	116
KRHU0	0.19074	109
KRHU0	0.1537	109
KRHU0	0.34452	109
KRHU0	0.5754	109
KRHU0	0.0651	109
KRHU0	0.05361	109
KRHU0	0.1988	109
KRHU0	5.80833	109
KRHU0	1.7341	109
KRHU0	0.0686	109
KRHU0	0.0492	109
KRHU0	0.998	109
KRHU0	2.15934	109
KRHU0	0.1257	109
KRHU0	0.39563	109
KRHU0	0.03572	109
KRHU0	0.78063	109
KRHU0	1.4065	109
KRHU0	0.0662	109
KRHU0	0.2583	109
KRHU0	0.573	109
KRHU0	12.2666	109
KRHU0	0.0873	109
KRHU0	0.42354	109
KRHU0	0.1101	109
KRHU0	2.57208	109
KRHU0	2.0926	109
KRHU0	0.1653	109
KRHU0	0.62896	109
KRHU0	0.07976	109
KRHU0	2.9242	109
KRHU0	0.1768	109
KRHU0	0.0888	109
KRHU0	1.24058	109
KRHU0	0.3586	109
KRHU0	0.04094	109
KRHU0	0.35525	109
KRHU0	0.03812	109
KRHU0	0.05004	109
KRHU0	0.008666	109
KRHU0	0.004158	109
KRHU0	0.022274	109
KRHU0	0.03072	109
KRHU0	0.03672	109
KRHU0	0.086314	109
KRHU0	0.19804	109
KRHU0	0.16166	109
KRHU0	0.103896	109
KRHU0	3.029874	109
KRHU0	0.032458	109
KRHU0	0.006382	109
KRHU0	0.06248	109
KRHU0	0.0285	109
KRHU0	0.007864	109
KRHU0	0.21288	109
KRHU0	0.04244	109
Lysozyme_C	0.0506	133
Lysozyme_C	0.49176	133
Lysozyme_C	0.271	133
Lysozyme_C	0.2666	133
Lysozyme_C	1.81965	133
Lysozyme_C	0.3335	133
Lysozyme_C	0.15618	133
Lysozyme_C	1.7497	133
Lysozyme_C	0.0379	133
Lysozyme_C	0.065932	133
Lysozyme_C	0.7724	133
Lysozyme_C	0.01088	133
Lysozyme_C	0.0519	133
Lysozyme_C	0.03864	133
Lysozyme_C	0.01306	133
Lysozyme_C	0.01823	133
P001|ALBU_BOVIN	39.50315	100
P001|ALBU_BOVIN	13.23518	100
P001|ALBU_BOVIN	0.6492	100
P001|ALBU_BOVIN	0.93722	100
P001|ALBU_BOVIN	0.94188	100
P001|ALBU_BOVIN	7.5819	100
P001|ALBU_BOVIN	2.2228	100
P001|ALBU_BOVIN	4.021	100
P001|ALBU_BOVIN	0.15207	100
P001|ALBU_BOVIN	0.0546	100
P001|ALBU_BOVIN	0.2824	100
P001|ALBU_BOVIN	0.28736	100
P001|ALBU_BOVIN	21.0898	100
P001|ALBU_BOVIN	0.069	100
P001|ALBU_BOVIN	0.34982	100
P001|ALBU_BOVIN	1.3299	100
P001|ALBU_BOVIN	1.38695	100
P001|ALBU_BOVIN	0.6141	100
P001|ALBU_BOVIN	52.176	100
P001|ALBU_BOVIN	0.3524	100
P001|ALBU_BOVIN	0.3792	100
P001|ALBU_BOVIN	0.66242	100
P001|ALBU_BOVIN	0.0412	100
P001|ALBU_BOVIN	2.1477	100
P001|ALBU_BOVIN	2.7724	100
P001|ALBU_BOVIN	3.4302	100
